[2024-10-15 01:39:33] INFO: Cliente DHCP iniciado | IP:  | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:39:33] INFO: Mensaje DHCPDISCOVER enviado | IP:  | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:39:33] INFO: Oferta del servidor DHCP recibida | IP:  | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:39:33] INFO: Información de lease recibida | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:39:33] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:40:04] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:40:04] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:40:04] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:40:35] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:40:35] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:40:35] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:41:06] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:41:06] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:41:06] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:41:37] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:41:37] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:41:37] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:42:07] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:42:07] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:42:07] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:42:38] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:42:38] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:42:38] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:43:09] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:43:09] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:43:09] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:43:40] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:43:40] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:43:40] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:44:11] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:44:11] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:44:11] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:44:41] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:44:41] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:44:41] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:45:11] INFO: Solicitando renovación de lease | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:45:11] INFO: Renovación de lease exitosa | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
[2024-10-15 01:45:11] INFO: Esperando para la siguiente renovación | IP: 192.168.1.11 | MAC: 00:9a:36:3c:f9:f2
